City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Coahuayana,91,MX,1570211368,73,18.62,-100.35,82.34,2.68
Hobart,19,AU,1570211086,80,-42.88,147.33,39.2,8.05
Codrington,0,AU,1570211369,93,-28.95,153.24,64.4,6.93
Bull Savanna,98,JM,1570211469,70,17.89,-77.59,84.5,2.68
Busselton,73,AU,1570211269,98,-33.64,115.35,55.99,28.68
Saskylakh,0,RU,1570211469,82,71.97,114.09,13.4,6.33
Sao Filipe,25,CV,1570211470,88,14.9,-24.5,79.82,13.76
Kapaa,90,US,1570211371,94,22.08,-159.32,75.2,16.11
Ponta do Sol,38,BR,1570211471,30,-20.63,-46,85.4,3.71
Kodiak,1,US,1570211471,71,39.95,-94.76,57,10.29
Hermanus,11,ZA,1570211372,84,-34.42,19.24,61,1.01
Souillac,90,FR,1570211373,72,45.6,-0.6,64,10.29
Pacific Grove,1,US,1570211177,39,36.62,-121.92,64.99,4.7
Sarangani,69,PH,1570211374,73,5.4,125.46,83.06,9.48
Rikitea,83,PF,1570211374,79,-23.12,-134.97,69.92,21.39
Puerto Ayora,75,EC,1570211375,69,-0.74,-90.35,73.4,18.34
New Norfolk,19,AU,1570211375,80,-42.78,147.06,39.2,10.29
Avarua,60,CK,1570211314,83,-21.21,-159.78,75.2,11.41
Qostanay,0,KZ,1570211376,71,53.17,63.58,50,8.95
Kaitangata,88,NZ,1570211376,60,-46.28,169.85,44.01,4
Sarakhs,0,TM,1570211376,31,36.54,61.16,64.4,4.92
Ushuaia,90,AR,1570211108,80,-54.81,-68.31,37.4,35.57
Ribeira Grande,75,PT,1570211377,88,38.52,-28.7,69.8,18.34
Saldanha,0,PT,1570211378,44,41.42,-6.55,69.92,4.14
Vaini,72,IN,1570211378,96,15.34,74.49,75.14,1.54
Chuy,100,UY,1570211378,92,-33.69,-53.46,57.68,11.77
Sur,83,OM,1570211379,33,22.57,59.53,91.34,6.04
Provideniya,100,RU,1570211379,84,64.42,-173.23,26.36,35.08
Papetoai,75,PF,1570211380,78,-17.5,-149.87,78.8,9.17
Cabo San Lucas,5,MX,1570211233,54,22.89,-109.91,89.01,3.36
Tuatapere,81,NZ,1570211380,68,-46.13,167.69,44.01,10
Bluff,0,AU,1570211381,85,-23.58,149.07,54.8,2.98
Aksu,0,KZ,1570211382,65,52.04,76.93,41,2.24
Punta Arenas,40,CL,1570211382,49,-53.16,-70.91,46.4,35.57
Kruisfontein,68,ZA,1570211382,84,-34,24.73,56.6,9.51
Castro,75,CL,1570211383,61,-42.48,-73.76,50,4.7
Atuona,50,PF,1570211383,72,-9.8,-139.03,80,18.81
Mar del Plata,32,AR,1570211384,21,-46.43,-67.52,61.28,19.35
Barrow,100,AR,1570211384,86,-38.31,-60.23,46.88,2.86
Krasnoarmeysk,75,RU,1570211384,75,56.12,38.15,48.2,6.71
Altamont,90,CA,1570211385,100,49.4,-98.5,44.6,13.87
Vostok,100,RU,1570211385,98,46.45,135.83,37.7,3.22
Mocuba,8,MZ,1570211386,77,-16.84,36.99,72.62,5.26
Vangaindrano,38,MG,1570211386,95,-23.35,47.6,71,4.18
Joensuu,90,FI,1570211386,96,62.6,29.76,35.01,12.75
Yulara,0,AU,1570211387,15,-25.24,130.99,69.8,3.36
Severo-Kurilsk,100,RU,1570211387,68,50.68,156.12,42.92,15.05
Sitka,99,US,1570211388,73,37.17,-99.65,61.82,14.2
Bethel,90,US,1570211186,87,60.79,-161.76,44.6,16.11
Esperance,75,AU,1570211388,62,-33.86,121.89,59,11.41
Port Hardy,75,CA,1570211389,93,50.7,-127.42,50,8.25
Yellowknife,90,CA,1570211379,87,62.45,-114.38,46.4,14.99
Santa catarina de Tepehuanes,1,MX,1570211389,54,25.34,-105.72,68.3,7.78
Saint-Joseph,0,FR,1570211389,72,43.56,6.97,71.01,2.24
Pasni,34,PK,1570211390,77,25.26,63.48,80.9,8.5
Mataura,84,NZ,1570211390,68,-46.19,168.86,44.01,10
Qaanaaq,99,GL,1570211390,65,77.48,-69.36,26.72,3.85
Veraval,99,FR,1570211391,77,49.65,0.71,60.8,12.75
Paamiut,100,GL,1570211391,65,61.99,-49.67,44.18,19.66
Tabuk,89,PH,1570211392,95,17.41,121.44,60.56,4.43
Thompson,40,CA,1570211392,61,55.74,-97.86,50,9.17
